1,2,3,4,5,6,7,8
6.73555,3.59292,2.46217,3.01349,2.71425,2.40974,2.47131,2.49955
6.52525,3.40936,2.32869,2.6249,2.50874,2.3842,2.53106,2.39937
13.6443,7.02372,4.79452,7.03342,5.84557,5.01443,5.09439,5.07745
13.78,13.2866,8.8457,8.51105,6.74901,5.72279,6.20147,5.78616
3.72739,4.07834,2.7869,3.21558,2.76459,2.45544,2.58749,2.62601
3.70448,2.24294,1.54999,1.78363,1.73262,1.51377,1.59178,1.53354
